Informazioni cronologiche,Indica la tua fascia d'età,Usi un dispositivo Android o iOS?,Hai utilizzato mezzi pubblici recentemente?,Con quale frequenza utilizzi i mezzi pubblici?,In quale provincia prendi principalmente i mezzi?,Indica quali tra i seguenti mezzi hai usato,"Secondo te, quali di questi disservizi impattano di più sulla qualità del trasporto pubblico?",Quali di queste applicazioni di mobilità hai utilizzato nell'ultima settimana?,Quanto reputi affidabili le informazioni circa la mobilità fornite dalle app che usi?,"Quanto pensi che l'aggiunta di informazioni provenienti da altri utenti possa migliorare l'esperienza di un'app di mobilità? (Segnalazione di autovelox, ritardi su una linea, traffico, etc...)",Quanto ti piacerebbe aiutare altri utenti fornendo informazioni sulla mobilità?,"Salito su un mezzo pubblico, condivideresti (anonimamente) la tua posizione per aiutare un'app a fornire informazioni ad altri utenti?",Come preferiresti segnalare la tua salita sul mezzo pubblico?,Quanto ti interesserebbe una classifica degli utenti che hanno segnalato più ritardi?,"Quanto ti interesserebbe sbloccare nuovi modi di partecipare alla community in base alla partecipazione? (moderazione, reazioni ad altri utenti)","Se segnalare ritardi ti permettesse di sbloccare elementi di customizzazione (Avatar, modifiche estetiche, etc...), saresti invogliato a partecipare di più?",Se ogni minuto di ritardo segnalato corrispondesse ad una donazione a un'organizzazione non-profit di tua scelta: saresti invogliato a partecipare di più?,Hai suggerimenti?
01/05/2023 19.49.32,<18,Android,Si,Almeno una volta al giorno,Roma,"Treno, Metro","Ritardi, Sovraffollamento dei mezzi","Moovit, Google Maps",5,4,2,No,,3,2,4,3,
01/05/2023 19.49.42,<18,iOS,Si,Meno di una volta al mese,Napoli,"Metro, Tram, Treno","Ritardi, Irregolarità del servizio",,,,,,,,,,,
01/05/2023 19.51.54,18-25,Android,Si,Almeno una volta a settimana,Roma,"Metro, Bus","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi",Google Maps,2,4,4,Si,"Automaticamente grazie alla geolocalizzazione, Tramite un bottone in-app",3,0,0,4,
01/05/2023 19.53.28,18-25,iOS,Si,Almeno una volta al giorno,Roma,Treno,Sovraffollamento dei mezzi,Maps (Apple),5,5,3,No,,3,1,0,5,
01/05/2023 19.53.54,18-25,Android,Si,Almeno una volta al giorno,Roma,Metro,"Ritardi, Irregolarità del servizio","Waze, Google Maps",5,5,5,No,,5,0,5,0,
01/05/2023 19.54.20,18-25,iOS,Si,Almeno una volta a settimana,Roma,"Metro, Bus","Ritardi, Irregolarità del servizio","Moovit, Google Maps",3,5,4,Si,"Automaticamente grazie alla geolocalizzazione, Tramite un bottone in-app",1,1,1,5,
01/05/2023 19.56.01,<18,iOS,Si,Almeno una volta a settimana,Roma,"Treno, Metro","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi","Moovit, Google Maps, Maps (Apple), Trenitalia ",4,5,3,Si,"Automaticamente grazie alla geolocalizzazione, Tramite un bottone in-app",4,3,3,4,
01/05/2023 19.56.02,18-25,Android,Si,Almeno una volta al giorno,Roma,"Bus, Treno, Metro, Tram","Ritardi, Irregolarità del servizio, Mancanza di copertura, Sovraffollamento dei mezzi","ProBus, Google Maps",4,4,3,Si,"Scannerizzando un QR code sul mezzo, Tramite un bottone in-app",3,3,1,5,Bruciare ATAC (si scherza ovviamente).
01/05/2023 19.56.55,18-25,Android,Si,Almeno una volta al giorno,Roma,"Treno, Bus, Tram, Metro","Ritardi, Irregolarità del servizio, Sovraffollamento dei mezzi, Le vetture dell'anteguerra","Moovit, Citymapper",4,5,5,Si,Tramite un bottone in-app,0,1,0,2,
01/05/2023 19.57.19,18-25,iOS,Si,Almeno una volta a settimana,Roma,"Bus, Metro",Irregolarità del servizio,"Moovit, Google Maps, Waze",5,5,5,Si,Automaticamente grazie alla geolocalizzazione,4,4,4,5,
